Coldplay,8,336,2019-12-17,2019-12-24,46
DJ Luian,8,336,2017-11-07,2017-11-14,37
Alan Walker,8,320,2018-07-30,2018-08-06,75
Tomine Harket,8,320,2018-07-30,2018-08-06,75
BENEE,8,312,2020-03-05,2020-03-12,34
Taiu,8,308,2023-03-15,2023-03-22,37
Taiu,8,308,2020-07-25,2020-08-01,33
Daddy Yankee,8,304,2020-09-04,2020-09-11,23
Wisin,8,288,2021-03-08,2021-03-15,56
Liz Gillies,8,280,2019-12-18,2019-12-25,50
A$AP Rocky,8,272,2017-11-01,2017-11-08,39
Kevin Roldan,8,272,2021-01-16,2021-01-24,141
A$AP Rocky,8,272,2017-10-14,2017-10-21,103
John Scott Trotter & His Orchestra,8,264,2018-12-18,2018-12-25,12
TATOOL,8,260,2020-07-25,2020-08-01,33
Darell,8,259,2019-03-26,2019-04-02,58
KAROL G,8,257,2019-07-16,2019-07-23,5
Jhayco,8,256,2021-09-07,2021-09-14,47
Darell,8,256,2018-04-28,2018-05-05,16
Chuck Berry,8,248,2019-12-18,2019-12-25,37
Alessia Cara,8,216,2017-09-01,2017-09-08,6
Zion,8,208,2019-08-03,2019-08-10,66
Cazzu,8,192,2018-09-01,2018-09-08,101
Kirsty MacColl,8,192,2018-12-18,2018-12-25,30
Trueno,8,192,2020-07-25,2020-08-01,33
Alex Rose,8,192,2018-09-01,2018-09-08,101
G Herbo,8,176,2020-03-12,2020-04-06,130
Casper Magico,8,176,2018-04-28,2018-05-05,16
Nio Garcia,8,176,2018-04-28,2018-05-05,16
DJ Luian,8,160,2017-08-17,2017-08-24,122
Mambo Kingz,8,152,2017-08-17,2017-08-24,122
Rauw Alejandro,8,144,2018-09-01,2018-09-08,101
Lenny Tavárez,8,120,2018-09-01,2018-09-08,101
Nile Rodgers,8,120,2022-04-10,2022-04-17,144
Wisin,8,112,2019-09-21,2019-09-28,68
Rich Music LTD,8,112,2019-09-21,2019-09-28,68
Chance the Rapper,8,96,2020-03-12,2020-04-06,130
Au/Ra,8,80,2018-07-30,2018-08-06,75
ARIZONATEARS,8,77.333333336,2023-02-15,2023-02-22,42
Calvin Harris,8,68,2022-12-21,2022-12-31,51
Logic,8,64,2017-09-01,2017-09-08,6
TWISTED,8,48,2023-01-07,2023-01-14,133
Arcangel,8,40,2019-08-03,2019-08-10,66
The Weeknd,7,3930.5,2022-11-08,2022-11-14,29
Dua Lipa,7,3680,2020-12-26,2021-01-01,11
Ariana Grande,7,2835,2021-11-22,2021-11-28,20
Future,7,2561,2017-03-21,2017-03-27,9
Pop Smoke,7,2365,2020-06-27,2020-07-03,9
Travis Scott,7,2157,2020-04-18,2020-04-24,1
Steve Lacy,7,2002,2022-11-08,2022-11-14,15
YNW Melly,7,1911,2019-11-01,2019-11-07,40
DaBaby,7,1841,2020-12-26,2021-01-01,11
Dua Lipa,7,1771,2017-07-22,2017-07-28,30
Queen,7,1508,2018-10-30,2018-11-05,14
Lil Baby,7,1429,2018-09-29,2018-10-05,12
Brenda Lee,7,1401,2017-12-19,2017-12-25,4
Lizzo,7,1358,2022-04-29,2022-05-05,7
Ariana Grande,7,1357,2020-05-02,2020-05-08,1
Manuel Turizo,7,1337,2022-07-02,2022-07-09,113
Paul McCartney,7,1295,2018-12-18,2018-12-24,10
Elvis Presley,7,1264,2018-12-19,2018-12-25,28
Elvis Presley,7,1232,2017-12-19,2017-12-25,21
Maggie Lindemann,7,1232,2017-04-21,2017-04-27,55
AURORA,7,1218,2021-04-02,2021-04-08,61
Lil Nas X,7,1218,2019-03-22,2019-03-28,9
Rita Ora,7,1204,2017-06-08,2017-06-14,39
benny blanco,7,1155,2019-08-24,2019-08-30,58
Trinidad Cardona,7,1134,2021-06-12,2021-06-18,36
Glass Animals,7,1134,2021-03-23,2021-03-29,30
Frank Sinatra,7,1127,2018-12-19,2018-12-25,11
Andy Williams,7,1096,2017-12-19,2017-12-25,7
Jaymes Young,7,1071,2022-01-08,2022-01-14,14
Lil Mabu,7,1057,2023-05-12,2023-05-18,50
JP Saxe,7,1050,2019-12-22,2019-12-30,80
Chris Rea,7,1036,2018-12-18,2018-12-24,11
Leona Lewis,7,1029,2019-12-19,2019-12-25,51
Shawn Mendes,7,1023,2022-01-08,2022-01-14,54
George Ezra,7,1015,2018-08-04,2018-08-10,43
Rosa Linn,7,1015,2022-07-12,2022-07-18,58
Yng Lvcas,7,1015,2023-03-21,2023-03-27,8
Sheck Wes,7,1008,2018-09-21,2018-09-27,33
Katy Perry,7,1005,2017-05-13,2017-05-19,42
Playboi Carti,7,987,2017-06-09,2017-06-15,54
Britney Spears,7,978,2018-12-18,2018-12-24,36
The Ronettes,7,939,2018-12-18,2018-12-24,20
Chino Pacas,7,938,2023-02-13,2023-02-19,74
OneRepublic,7,938,2017-07-01,2017-07-07,76
Taylor Swift,7,926,2018-03-24,2018-03-30,27
Lord Huron,7,924,2017-04-21,2017-04-27,64
Post Malone,7,896,2021-04-17,2021-04-23,75
Kelly Clarkson,7,889,2018-12-18,2018-12-24,18
Starley,7,889,2017-08-26,2017-09-01,161
Shouse,7,875,2021-10-25,2021-10-31,81
Sam Smith,7,868,2018-12-18,2018-12-24,16
Bing Crosby,7,844,2017-12-19,2017-12-25,10
Bruno Mars,7,833,2023-01-13,2023-01-19,79
Ashley O,7,819,2019-06-26,2019-07-02,49
Kehlani,7,812,2019-01-18,2019-01-24,71
Kehlani,7,812,2019-01-26,2019-02-01,35
NLE Choppa,7,811,2021-11-05,2023-04-07,73
Ryan Castro,7,784,2022-01-28,2022-02-03,94
blackbear,7,770,2017-04-09,2017-04-15,138
Roddy Ricch,7,761,2019-12-10,2019-12-16,40
Clean Bandit,7,752,2018-06-30,2018-07-06,10
Sia,7,728,2018-09-01,2018-09-07,45
The Carters,7,707,2018-06-30,2018-07-06,40
DaBaby,7,697,2020-03-28,2020-04-03,22
Lil Skies,7,679,2019-04-29,2019-05-05,152
Willy William,7,676,2017-12-25,2017-12-31,17
Bad Bunny,7,669,2019-05-08,2019-05-14,13
Daddy Yankee,7,658,2019-01-31,2019-02-06,22
Hugh Jackman,7,657,2018-01-02,2018-01-08,66
PinkPantheress,7,644,2023-02-04,2023-02-10,7
Ingratax,7,644,2021-07-23,2021-07-29,77
Coi Leray,7,637,2023-02-05,2023-02-11,28
Lukas Graham,7,621,2018-09-11,2018-09-17,76
Burl Ives,7,616,2017-12-19,2017-12-25,23
Burl Ives,7,616,2018-12-19,2018-12-25,17
Gym Class Heroes,7,612,2021-03-06,2021-03-12,114
Dua Lipa,7,609,2017-01-27,2017-02-02,12
Ice Spice,7,605.5,2023-02-04,2023-02-10,7
CJ,7,574,2020-11-08,2020-11-14,62
The Pogues,7,567,2017-12-19,2017-12-25,18
Bobby Helms,7,567,2017-12-19,2017-12-25,11
Jack & Jack,7,560,2018-07-01,2018-07-07,25
The Fontane Sisters,7,546,2017-12-16,2017-12-25,44
Guaya,7,546,2020-10-26,2020-11-01,88
BoyWithUke,7,539,2021-10-18,2021-10-24,68
NLE Choppa,7,518,2020-03-20,2020-03-26,74
Cashmere Cat,7,512,2018-01-25,2018-01-31,100
Zedd,7,511,2017-02-24,2017-03-02,13
Zedd,7,511,2017-03-06,2017-03-12,10
Nat King Cole,7,499,2017-12-19,2017-12-25,17
Macklemore,7,473,2017-07-22,2017-07-28,50
Gucci Mane,7,462,2018-04-12,2018-09-18,24
Years & Years,7,462,2018-06-21,2018-06-27,102
Shakira,7,448,2022-05-02,2022-05-08,71
Jos Blue,7,448,2018-07-01,2018-07-07,25
Kris Kross Amsterdam,7,441,2018-08-24,2018-08-30,42
Why Don't We,7,428,2018-08-29,2018-09-04,111
Rudimental,7,427,2018-02-03,2018-02-09,20
Ken Darby Singers,7,427,2017-12-19,2017-12-25,10
Lauv,7,399,2018-06-20,2018-06-26,90
Villano Antillano,7,378,2022-07-11,2022-07-20,39
José Feliciano,7,364,2018-12-18,2018-12-24,15
Sebastian Yatra,7,357,2020-10-26,2020-11-01,88
Pol Granch,7,357,2021-06-30,2021-07-06,70
The Harlem Community Choir,7,336,2018-12-18,2018-12-24,8
Preme,7,322,2018-06-30,2018-07-06,17
The Boy Next Door,7,322,2018-08-24,2018-08-30,42
Alex Sensation,7,322,2017-08-27,2017-09-02,133
The Plastic Ono Band,7,315,2018-12-18,2018-12-24,8
Robin Schulz,7,304,2019-04-29,2020-03-17,104
Myke Towers,7,294,2019-03-18,2019-03-24,116
Dzeko,7,294,2018-06-30,2018-07-06,17
Coldplay,7,294,2018-12-18,2018-12-24,34
Zendaya,7,289,2018-01-02,2018-01-08,55
John Lennon,7,287,2018-12-18,2018-12-24,8
LSD,7,280,2018-09-01,2018-09-07,45
Nio Garcia,7,273,2021-01-24,2021-01-30,91
MC MENOR HR,7,273,2022-12-26,2023-01-01,50
Zac Efron,7,266,2018-01-02,2018-01-08,55
Kylie Minogue,7,259,2018-12-18,2018-12-24,39
DJ ESCOBAR,7,259,2022-12-26,2023-01-01,50
MC MENOR SG,7,259,2022-12-26,2023-01-01,50
Lil Nas X,7,252,2020-11-13,2020-11-19,41
Bryant Myers,7,245,2021-01-18,2021-01-24,141
John Scott Trotter & His Orchestra,7,231,2017-12-19,2017-12-25,10
Rod Wave,7,217,2020-07-11,2020-07-17,61
Chuck Berry,7,217,2018-12-19,2018-12-25,34
Paul McCartney,7,203,2017-12-19,2017-12-25,16
Perry Como,7,201,2017-12-16,2017-12-25,44
Yoko Ono,7,196,2018-12-18,2018-12-24,8
Diplo,7,192,2018-09-01,2018-09-07,23
Quality Control,7,184,2019-08-10,2019-08-16,72
Mora,7,182,2021-05-02,2021-05-08,80
Panic! At The Disco,7,182,2022-04-22,2022-04-28,77
Labrinth,7,182,2018-09-01,2018-09-07,45
Big Shaq,7,168,2017-11-06,2017-11-12,46
Shakin' Stevens,7,168,2018-12-18,2018-12-24,21
JACKBOYS,7,168,2020-04-18,2020-04-24,62
Kirsty MacColl,7,168,2017-12-19,2017-12-25,18
Jax Jones,7,154,2019-05-15,2019-05-21,94
Amezzy,7,147,2021-01-24,2021-01-30,91
NF,7,139,2017-10-06,2017-10-12,33
Luis Fonsi,7,126,2017-01-15,2017-01-21,19
Justin Bieber,7,123,2018-12-18,2018-12-24,12
ATB,7,114.33333331,2021-01-30,2021-02-06,92
Tiësto,7,112,2018-06-30,2018-07-06,17
WizKid,7,105,2022-04-10,2022-04-16,140
Daft Punk,7,104,2018-03-27,2018-04-02,124
Lyanno,7,91,2021-01-18,2021-01-24,141
Nio Garcia,7,88,2019-05-04,2020-05-21,134
Tony Bennett,7,77,2019-12-15,2019-12-25,53
Madison Beer,7,70,2019-05-15,2019-05-21,94
Marc Seguí,7,58.333333331,2021-06-30,2021-07-06,70
Dean Lewis,7,56,2018-08-10,2018-08-16,35
BlocBoy JB,7,56,2018-07-05,2018-07-11,47
The Police,7,56,2022-05-05,2022-06-02,151
David Bowie,7,56,2018-12-26,2019-01-01,95
AJR,7,49,2017-01-20,2017-01-26,44
Ava Max,7,49,2018-09-28,2018-10-04,77
Ashe,7,42,2020-02-21,2020-02-27,33
Kyla,7,42,2022-04-10,2022-04-16,140
Leo Lewis,7,28,2019-12-19,2019-12-25,51
Wizkid,7,14,2022-04-10,2022-04-16,140
Big One,7,14,2023-04-09,2023-04-15,76
Milly,7,14,2021-01-24,2021-01-30,91
Nate Dogg,7,7,2018-08-15,2018-09-05,124
Taylor Swift,6,5790,2021-11-07,2021-11-12,1
Post Malone,6,4621,2019-07-02,2019-07-07,2
The Weeknd,6,4532,2021-12-26,2021-12-31,15
Ed Sheeran,6,4110,2020-01-18,2020-01-23,41
Adele,6,3931,2021-10-10,2021-10-15,1
Pop Smoke,6,3816,2020-08-08,2020-08-13,13
XXXTENTACION,6,3776,2017-08-24,2017-08-29,24
Michael Bublé,6,3757,2017-12-19,2017-12-24,3
Billie Eilish,6,3398,2021-04-10,2021-04-15,73
The Weeknd,6,3324,2021-09-04,2021-09-09,24
Dua Lipa,6,2970,2021-09-04,2021-09-09,22
SZA,6,2901,2022-12-04,2022-12-09,5
Billie Eilish,6,2655,2019-01-27,2019-02-01,2
Drake,6,2557,2017-06-23,2017-06-28,14
XXXTENTACION,6,2481,2020-03-28,2020-04-02,113
Doja Cat,6,2418,2022-05-14,2022-05-19,31
Future,6,2406,2017-03-04,2017-03-09,22
Nat King Cole,6,2314,2022-12-20,2022-12-25,14
Michael Bublé,6,2224,2019-11-26,2019-12-01,19
Rauw Alejandro,6,2204,2020-07-14,2020-07-19,28
Kendrick Lamar,6,2178,2018-06-20,2018-06-25,69
Kendrick Lamar,6,2178,2018-08-25,2018-08-30,130
YNW Melly,6,2124,2019-12-25,2019-12-30,46
Maroon 5,6,2094,2018-06-03,2018-06-08,9
Frank Sinatra,6,2068,2022-12-20,2022-12-25,17
Michael Bublé,6,2041,2021-11-23,2021-11-28,13
