Anitta,18,3510,2022-03-07,2022-03-24,1
G-Eazy,18,2700,2017-04-08,2017-04-25,30
Surf Mesa,17,3247,2020-03-30,2020-04-15,38
Jos Blue,17,2160,2017-05-15,2017-06-03,21
Cardi B,17,2159,2017-08-08,2017-08-24,39
William Singe,17,1156,2017-05-15,2017-06-03,21
KHEA,17,400,2018-04-14,2019-03-16,40
Nicki Nicole,16,432,2021-02-12,2021-02-27,25
Rafa Pabön,16,414,2019-03-01,2019-03-16,40
Farruko,15,2910,2021-07-17,2021-07-31,14
Alesso,15,1245,2018-09-04,2018-09-18,50
Regard,15,1155,2019-09-07,2019-09-21,60
Jos Blue,15,960,2018-06-04,2018-06-18,63
Rochy RD,15,840,2021-02-13,2021-02-27,25
Oliver Tree,14,2576,2021-09-03,2021-09-16,21
Tyga,14,1708,2018-05-19,2018-06-01,44
Brando,14,1232,2018-07-05,2018-07-18,26
Loud Luxury,14,1232,2018-07-05,2018-07-18,26
Jack & Jack,14,1120,2018-06-05,2018-06-18,63
Jason Derulo,14,938,2017-03-20,2017-04-02,22
Black Eyed Peas,14,742,2019-10-16,2019-10-29,15
Kali Uchis,14,490,2021-02-16,2021-03-01,4
Dalex,14,364,2019-03-03,2019-03-16,40
Cazzu,14,364,2019-03-03,2019-03-16,40
Feid,14,364,2019-03-03,2019-03-16,40
Lenny Tavárez,14,364,2019-03-03,2019-03-16,40
Sech,14,126,2019-03-03,2019-03-16,40
YNW Melly,13,3133,2019-09-13,2019-09-25,46
Imagine Dragons,13,2044,2017-02-10,2017-02-22,17
Masked Wolf,13,1638,2021-01-17,2021-01-29,71
LIT killah,13,988,2021-07-17,2021-07-29,39
Lit Killah,13,988,2021-07-17,2021-07-29,39
Tiago PZK,13,923,2021-07-17,2021-07-29,39
LIT Killah,13,884,2021-07-17,2021-07-29,39
Megan Thee Stallion,13,793,2020-03-19,2020-03-31,25
AX'EL,13,667.33333329,2021-09-16,2021-09-28,20
Winona Oak,13,650,2019-01-05,2019-01-17,58
Dj Yo!,13,390,2021-09-16,2021-09-28,20
Conan Gray,13,312,2020-08-08,2020-08-20,23
Jhay Cortez,13,13,2019-05-27,2019-06-08,50
StaySolidRocky,12,2196,2020-05-11,2020-05-22,25
Juice WRLD,12,2014,2018-05-13,2018-05-24,25
Maluma,12,1542,2019-02-26,2019-03-09,40
Masked Wolf,12,1512,2021-01-31,2021-02-11,22
Miguel,12,1188,2023-01-01,2023-01-12,16
Yandel,12,907,2022-09-14,2023-01-14,16
P!nk,12,840,2021-04-10,2021-04-21,63
Willow Sage Hart,12,420,2021-04-10,2021-04-21,63
Prince Royce,12,12,2017-11-03,2017-11-14,37
OneRepublic,11,2519,2022-06-05,2022-06-15,42
Bazzi,11,2178,2018-01-22,2018-02-01,31
Tainy,11,1727,2020-07-13,2020-07-23,25
Lil Nas X,11,1480,2019-03-09,2019-03-19,37
Sam Feldt,11,1199,2019-06-25,2019-07-05,63
Jos Blue,11,1121,2019-04-27,2019-05-07,100
Swae Lee,11,1078,2017-04-22,2017-05-02,24
Marshmello,11,1056,2017-08-13,2017-08-23,23
French Montana,11,1012,2017-04-22,2017-05-02,24
Jawsh 685,11,968,2020-06-13,2020-06-23,4
Lele Pons,11,814,2020-09-17,2020-09-27,53
Ritt Momney,11,477,2020-09-13,2020-09-23,40
Zion & Lennox,11,396,2022-02-21,2022-03-03,89
Post Malone,11,300,2017-03-20,2017-03-30,40
Swae Lee,11,154,2023-05-14,2023-05-24,87
Jason Derulo,11,132,2020-06-13,2020-06-23,4
Pailita,11,88,2022-04-25,2022-05-05,53
Kali Uchis,10,2520,2023-04-16,2023-04-25,20
Bruno Mars,10,2343,2022-03-26,2022-04-04,51
Ellie Goulding,10,1800,2019-05-05,2019-05-14,59
Maggie Lindemann,10,1760,2017-04-04,2017-04-13,67
Arizo Zervas,10,1680,2019-10-29,2019-11-07,10
A$AP Rocky,10,1640,2018-07-02,2018-07-11,39
Martin Garrix,10,1610,2019-05-06,2019-05-15,35
Mabel,10,1460,2019-02-18,2019-02-27,25
Doja Cat,10,1320,2021-01-11,2021-01-20,37
WILLOW,10,1070,2021-06-06,2021-06-15,58
Young Thug,10,1064,2017-08-12,2017-08-21,22
Nicky Jam,10,1054,2018-03-01,2018-03-10,17
Camilo,10,1052,2020-04-06,2020-04-15,32
Snow,10,990,2019-01-28,2019-02-06,22
Swae Lee,10,980,2017-04-10,2017-04-19,79
J Balvin,10,950,2021-06-07,2021-06-16,15
Maria Becerra,10,940,2021-06-07,2021-06-16,15
French Montana,10,920,2017-04-10,2017-04-19,79
Rauw Alejandro,10,910,2019-09-26,2019-10-05,76
Martin Garrix,10,840,2018-06-30,2018-07-09,17
Polimá Westcoast,10,800,2022-04-26,2022-05-05,53
Daft Punk,10,661,2022-01-10,2022-04-17,144
Sebastian Yatra,10,650,2021-04-19,2021-04-28,16
Los Legendarios,10,480,2021-03-20,2021-03-29,15
Jhay Cortez,10,480,2021-03-20,2021-03-29,15
A Boogie Wit da Hoodie,10,410,2017-04-18,2017-04-27,98
Wisin,10,360,2021-03-20,2021-03-29,15
"Tyler, The Creator",10,316,2023-04-16,2023-04-25,20
NIKI,10,310,2022-01-15,2022-01-24,75
Feid,10,266,2020-03-05,2020-04-12,70
Meghan Trainor,10,250,2022-10-24,2022-11-02,23
Ella Mai,10,100,2018-06-30,2018-07-09,67
Kodak Black,10,20,2017-02-18,2017-02-28,45
Ozuna,9,2887,2019-01-18,2019-01-26,25
Lil Pump,9,2833,2018-04-11,2018-04-19,40
The Jackson 5,9,2392,2019-12-17,2019-12-25,30
Sia,9,2219,2020-12-12,2020-12-20,14
Nat King Cole,9,2161,2019-12-17,2019-12-25,14
DJ Snake,9,2160,2019-06-17,2019-06-25,27
ROSALÍA,9,1803,2020-09-03,2020-09-11,23
Mariah Carey,9,1782,2017-11-18,2017-11-26,19
Frank Sinatra,9,1768,2019-12-17,2019-12-25,11
Jack Harlow,9,1755,2020-07-15,2020-07-23,11
Elvis Presley,9,1612,2019-12-17,2019-12-25,27
Bazzi,9,1494,2018-08-05,2018-08-13,30
Clean Bandit,9,1476,2017-03-21,2017-03-29,12
Farruko,9,1361,2020-08-04,2020-09-11,23
Zedd,9,1359,2019-10-01,2019-10-11,63
blackbear,9,1260,2019-08-28,2019-09-05,59
Tones And I,9,1251,2019-07-29,2019-08-06,27
Jack Harlow,9,1233,2020-02-10,2020-02-18,62
Bing Crosby,9,1164,2019-12-17,2019-12-25,17
Nio Garcia,9,1089,2021-04-10,2021-04-18,34
Tion Wayne,9,1089,2021-05-02,2021-05-10,14
Kygo,9,945,2017-10-02,2017-10-10,24
Flow La Movie,9,927,2021-04-10,2021-04-18,34
Anuel AA,9,918,2021-09-06,2021-09-14,47
BoyWithUke,9,909,2021-10-26,2021-11-03,28
Luis Fonsi,9,874,2017-11-15,2017-11-23,9
Russ Millions,9,846,2021-05-02,2021-05-10,14
Aaron Carter,9,837,2017-02-04,2017-02-12,117
Tory Lanez,9,774,2020-07-15,2020-07-23,11
The Fontane Sisters,9,756,2019-12-17,2019-12-25,28
B. Swanson Quartet,9,756,2019-12-17,2019-12-25,11
The Pogues,9,729,2019-12-17,2019-12-25,33
Guaya,9,702,2020-11-10,2020-11-18,35
Darlene Love,9,666,2019-12-17,2019-12-25,23
Justin Quiles,9,594,2020-04-04,2020-04-12,70
TINI,9,585,2021-04-30,2021-05-08,72
Swae Lee,9,565,2018-06-20,2018-06-28,100
Ken Darby Singers,9,549,2019-12-17,2019-12-25,17
Shakira,9,540,2020-01-17,2020-01-25,46
A$AP Ferg,9,513,2017-11-05,2017-11-13,36
Lady Gaga,9,477,2018-10-01,2018-10-09,16
Slim Jxmmi,9,466,2018-06-20,2018-06-28,100
Perry Como,9,459,2019-12-17,2019-12-25,28
Sebastian Yatra,9,459,2020-11-10,2020-11-18,35
Eslabon Armado,9,450,2021-09-25,2021-10-03,94
Rae Sremmurd,9,450,2018-03-12,2018-03-20,56
Slim Jxmmi,9,432,2018-03-12,2018-03-20,56
Mitchell Ayres & His Orchestra,9,414,2019-12-17,2019-12-25,28
Bradley Cooper,9,396,2018-10-01,2018-10-09,16
Bizarrap,9,342,2020-07-24,2020-08-01,33
DannyLux,9,306,2021-09-25,2021-10-03,94
John Scott Trotter & His Orchestra,9,297,2019-12-17,2019-12-25,17
Maria Becerra,9,270,2021-04-30,2021-05-08,72
Justin Jesso,9,216,2017-10-02,2017-10-10,24
Kirsty MacColl,9,216,2019-12-17,2019-12-25,33
Labrinth,9,207,2020-08-23,2020-08-31,53
Farruko,9,198,2018-11-10,2018-11-18,104
Blanco Brown,9,162,2019-06-19,2019-06-27,123
Pharrell Williams,9,135,2022-04-09,2022-04-17,144
Elton John,9,126,2019-12-17,2019-12-25,38
Giveon,9,72,2021-02-11,2021-02-19,37
Blueface,9,63,2019-01-26,2019-02-03,37
Rae Sremmurd,9,55,2018-06-20,2018-06-28,100
Aaron Smith,9,9,2019-03-09,2019-03-17,110
Michael Bublé,8,5222,2019-12-17,2019-12-24,5
Eminem,8,3092,2022-11-06,2022-11-13,42
Ariana Grande,8,3067,2019-12-17,2019-12-24,3
Ozuna,8,2648,2018-04-28,2018-05-05,16
Khalid,8,2439,2018-02-15,2018-02-22,15
The Kid LAROI,8,2433,2020-12-03,2020-12-10,22
Bruno Mars,8,2357,2021-11-05,2021-11-12,6
Feid,8,2087,2022-11-05,2022-11-12,15
Nat King Cole,8,1989,2018-12-18,2018-12-25,14
YNW Melly,8,1812,2019-02-15,2019-02-22,30
Khalid,8,1704,2017-08-16,2017-08-23,23
24kGoldn,8,1600,2020-08-16,2020-08-23,9
Brenda Lee,8,1595,2018-12-18,2018-12-25,3
Brenda Lee,8,1595,2019-12-18,2019-12-25,5
SAINt JHN,8,1552,2020-01-18,2020-01-25,50
Andy Williams,8,1552,2019-12-18,2019-12-25,7
Dean Martin,8,1526,2018-12-18,2018-12-25,25
Paul McCartney,8,1480,2019-12-17,2019-12-24,16
Trevor Daniel,8,1480,2019-11-18,2019-11-25,15
StaySolidRocky,8,1464,2020-05-02,2020-05-09,54
Anuel AA,8,1451,2020-05-23,2020-05-30,51
Paulo Londra,8,1432,2018-11-13,2018-11-20,18
Dean Martin,8,1431,2019-12-17,2019-12-24,24
Aya kamura,8,1418,2020-07-11,2020-07-18,45
SHAED,8,1416,2019-10-09,2019-10-16,51
Anuel AA,8,1395,2019-07-16,2019-07-23,5
Anuel AA,8,1392,2018-08-27,2018-09-03,29
The Chainsmokers,8,1342,2019-01-10,2019-01-17,58
Grupo Frontera,8,1338,2022-12-25,2023-01-01,43
Doja Cat,8,1280,2020-01-02,2020-01-09,49
Polo G,8,1270,2020-09-18,2020-09-25,77
Jaymes Young,8,1224,2021-11-26,2021-12-03,68
Amaarae,8,1224,2021-11-02,2021-11-09,27
Silk Sonic,8,1186,2021-11-05,2021-11-12,6
Polo G,8,1184,2019-05-01,2019-05-08,84
Sheck Wes,8,1152,2018-09-11,2018-09-18,51
Boza,8,1152,2020-12-12,2020-12-19,55
Anderson .Paak,8,1125,2021-11-05,2021-11-12,6
Tones And I,8,1112,2019-07-19,2019-07-26,61
Tate McRae,8,1104,2020-08-12,2020-08-19,50
Band Aid,8,1096,2018-12-18,2018-12-25,8
The Kid LAROI,8,1072,2023-01-25,2023-02-01,25
Superstar Pride,8,1061,2023-02-21,2023-02-28,32
Brett Eldredge,8,1024,2018-12-18,2018-12-25,33
Sech,8,1017,2019-05-11,2019-05-18,5
Cardi B,8,1016,2017-07-30,2017-08-06,86
Kelly Clarkson,8,1016,2019-12-17,2019-12-24,17
Bing Crosby,8,1014,2018-12-18,2018-12-25,12
Fousheé,8,1008,2020-10-14,2020-10-21,71
Tyga,8,1004,2019-11-16,2019-11-23,100
Danny Ocean,8,984,2022-03-26,2022-04-02,29
Tyga,8,976,2018-06-30,2018-07-07,12
Ingratax,8,952,2021-07-31,2021-08-07,39
Rauw Alejandro,8,920,2022-01-08,2022-01-15,24
Paulo Londra,8,908,2018-08-04,2018-08-11,65
Harry Nach,8,784,2020-06-04,2020-06-11,77
Danny Ocean,8,784,2017-04-15,2017-04-22,31
BROCKHAMPTON,8,784,2020-01-02,2020-01-09,51
Sabrina Carpenter,8,768,2023-01-15,2023-01-22,13
Young Miko,8,764,2023-04-08,2023-04-15,18
Daryl Hall & John Oates,8,736,2019-12-17,2019-12-24,25
Chencho Corleone,8,736,2022-01-08,2022-01-15,24
Lizzo,8,735,2019-04-24,2019-05-01,46
Shakin' Stevens,8,688,2019-12-17,2019-12-24,19
NLE Choppa,8,688,2019-09-14,2019-09-21,58
Britney Spears,8,680,2019-12-17,2019-12-24,43
Daft Punk,8,680,2022-05-19,2022-06-01,157
The Fontane Sisters,8,672,2018-12-18,2018-12-25,27
Pedro Capó,8,672,2018-11-11,2018-11-18,104
Chris Brown,8,656,2020-07-13,2020-07-20,42
Gus Dapperton,8,656,2020-03-05,2020-03-12,34
Lil Mosey,8,655,2020-01-16,2020-02-13,30
Milo j,8,648,2023-03-15,2023-03-22,37
The Pogues,8,648,2018-12-18,2018-12-25,30
Jack & Jack,8,640,2018-06-20,2018-06-27,28
Elton John,8,632,2018-12-18,2018-12-25,38
El Alfa,8,608,2020-12-12,2020-12-19,66
Jnr Choi,8,584,2022-01-10,2022-01-17,55
Grupo Frontera,8,584,2022-09-25,2022-10-02,42
Tay-K,8,576,2017-09-05,2017-09-12,115
Bobby Helms,8,568,2019-12-18,2019-12-25,4
Darell,8,560,2019-05-11,2019-05-18,5
BloodPop®,8,558,2018-02-09,2018-02-16,41
Meghan Trainor,8,516,2018-12-18,2018-12-25,33
Fleetwood Mac,8,514,2020-10-03,2020-10-10,17
Jos Blue,8,512,2018-06-20,2018-06-27,28
Camilo,8,507,2019-08-08,2019-08-15,41
Carlos Vives,8,496,2017-08-05,2017-08-12,95
Ken Darby Singers,8,488,2018-12-18,2018-12-25,12
Katy Perry,8,472,2017-08-21,2017-08-28,88
Perry Como,8,453,2018-12-18,2018-12-25,27
SZA,8,448,2021-01-01,2021-01-08,14
Young Thug,8,448,2020-07-13,2020-07-20,42
Sam Tompkins,8,432,2022-01-10,2022-01-17,55
Mambo Kingz,8,424,2017-11-07,2017-11-14,37
Luy,8,421,2019-05-07,2019-05-14,13
Wisin & Yandel,8,420,2019-06-29,2019-07-06,100
Chris Rea,8,408,2019-12-17,2019-12-24,14
Nicki Minaj,8,400,2019-11-09,2019-11-16,41
G-Eazy,8,392,2017-10-14,2017-10-21,103
sped up nightcore,8,392,2023-02-15,2023-02-22,42
G-Eazy,8,392,2017-11-01,2017-11-08,39
Los Legendarios,8,384,2021-03-08,2021-03-15,56
Jhay Cortez,8,384,2021-03-08,2021-03-15,56
ArizonaTears,8,376,2023-02-15,2023-02-22,42
Mitchell Ayres & His Orchestra,8,368,2018-12-18,2018-12-25,27
